0,Miss Jerry,Alexander Black,45,Romance
1,Cleopatra,Charles L. Gaskill,100,"Drama, History"
2,"From the Manger to the Cross; or, Jesus of Nazareth",Sidney Olcott,60,"Biography, Drama"
3,Amore di madre,D.W. Griffith,55,Drama
4,Traffic in Souls,George Loane Tucker,88,"Crime, Drama"
5,The Avenging Conscience: or 'Thou Shalt Not Kill',D.W. Griffith,78,"Crime, Drama, Horror"
6,The Bargain,Reginald Barker,70,Western
7,Cinderella,James Kirkwood,52,"Fantasy, Drama"
8,A Florida Enchantment,Sidney Drew,63,Comedy
9,"His Majesty, the Scarecrow of Oz",J. Farrell MacDonald,59,"Family, Fantasy, Adventure"
10,Hypocrites,Lois Weber,54,Drama
11,In the Land of the Head Hunters,Edward S. Curtis,65,"Drama, History"
12,Judith of Bethulia,D.W. Griffith,61,Drama
13,The Patchwork Girl of Oz,J. Farrell MacDonald,81,"Adventure, Family, Fantasy"
14,The Perils of Pauline,"Louis J. Gasnier, Donald MacKenzie",199,"Action, Adventure, Drama"
15,The Squaw Man,"Oscar Apfel, Cecil B. DeMille",74,"Action, Drama, Romance"
16,La madonnina del porto,Edwin S. Porter,80,Drama
17,Tillie's Punctured Romance,"Mack Sennett, Charles Bennett",82,Comedy
18,Uncle Tom's Cabin,William Robert Daly,54,Drama
19,The Virginian,Cecil B. DeMille,55,Western
20,The Wishing Ring: An Idyll of Old England,Maurice Tourneur,54,"Comedy, Drama"
21,The Wrath of the Gods,Reginald Barker,56,"Drama, Romance"
22,Alias Jimmy Valentine,Maurice Tourneur,65,"Crime, Drama"
23,Alice in Wonderland,W.W. Young,52,"Adventure, Family, Fantasy"
24,Nascita di una nazione,D.W. Griffith,195,"Drama, History, War"
25,Carmen,Cecil B. DeMille,59,Drama
26,The Cheat,Cecil B. DeMille,59,"Drama, Romance"
27,The Coward,"Reginald Barker, Thomas H. Ince",77,"Drama, History, War"
28,La vampira,Frank Powell,67,Drama
29,The Golden Chance,Cecil B. DeMille,74,Drama
30,The Italian,Reginald Barker,72,Drama
31,Martyrs of the Alamo,Christy Cabanne,71,"Drama, History, War"
32,The Nigger,Edgar Lewis,50,Drama
33,La rigenerazione,Raoul Walsh,72,"Biography, Crime, Drama"
34,Young Romance,George Melford,59,Comedy
35,"20,000 Leagues Under the Sea",Stuart Paton,105,"Action, Adventure, Sci-Fi"
36,The Children in the House,"Chester M. Franklin, Sidney Franklin",50,Drama
37,Civilization,"Reginald Barker, Thomas H. Ince",85,Drama
38,The Devil's Needle,Chester Withey,59,Drama
39,Flirting with Fate,Christy Cabanne,57,"Adventure, Comedy"
40,Going Straight,"Chester M. Franklin, Sidney Franklin",60,"Crime, Drama"
41,The Good Bad-Man,Allan Dwan,50,"Romance, Western"
42,Gretchen the Greenhorn,"Chester M. Franklin, Sidney Franklin",58,"Crime, Drama, Romance"
43,The Half-Breed,Allan Dwan,73,Western
44,Hell's Hinges,"Charles Swickard, William S. Hart",64,"Romance, Western"
45,His Picture in the Papers,John Emerson,62,Comedy
46,Hoodoo Ann,Lloyd Ingraham,65,"Comedy, Drama, Romance"
47,Intolerance,D.W. Griffith,163,"Drama, History"
48,The Matrimaniac,Paul Powell,46,"Comedy, Romance"
49,Reggie Mixes In,Christy Cabanne,50,"Action, Comedy, Drama"
50,The Return of Draw Egan,William S. Hart,50,"Action, Adventure, Romance"
51,Sherlock Holmes,Arthur Berthelet,116,Mystery
52,Shoes,Lois Weber,60,Drama
53,Snow White,J. Searle Dawley,63,"Fantasy, Romance"
54,The Social Secretary,John Emerson,52,"Comedy, Drama"
55,Where Are My Children?,"Phillips Smalley, Lois Weber",62,Drama
56,'49-'17,Ruth Ann Baldwin,61,"Drama, Western"
57,Bucking Broadway,John Ford,53,Western
58,Cleopatra,J. Gordon Edwards,125,"Biography, Drama, History"
59,A Girl's Folly,Maurice Tourneur,65,Comedy
60,Joan the Woman,Cecil B. DeMille,138,"Adventure, Drama, History"
61,The Little American,"Cecil B. DeMille, Joseph Levering",80,"Drama, Romance, War"
62,The Little Princess,Marshall Neilan,62,Drama
63,A Modern Musketeer,Allan Dwan,68,"Adventure, Comedy, Western"
64,The Poor Little Rich Girl,Maurice Tourneur,65,"Comedy, Drama, Family"
65,"Raffles, the Amateur Cracksman",George Irving,70,"Adventure, Crime, Romance"
66,Rebecca of Sunnybrook Farm,Marshall Neilan,78,"Comedy, Drama"
67,A Romance of the Redwoods,Cecil B. DeMille,91,"Adventure, Comedy, Drama"
68,Straight Shooting,John Ford,57,Western
69,A Tale of Two Cities,Frank Lloyd,70,"Drama, History, Romance"
70,Tillie Wakes Up,Harry Davenport,48,Comedy
71,Tom Sawyer,William Desmond Taylor,59,"Adventure, Comedy, Drama"
72,Wild and Woolly,John Emerson,72,"Comedy, Western, Romance"
73,Amarilly of Clothes-Line Alley,Marshall Neilan,67,"Comedy, Romance"
74,L'uccello blu,Maurice Tourneur,75,"Family, Fantasy"
75,Broadway Love,Ida May Park,60,Romance
76,The Forbidden City,Sidney Franklin,62,"Drama, Romance"
77,Cuori del mondo,D.W. Griffith,117,"Drama, War"
78,Indemoniato,John Ford,50,Western
79,Johanna Enlists,William Desmond Taylor,72,"Comedy, Romance"
80,M'Liss,Marshall Neilan,73,"Comedy, Drama"
81,The Married Virgin,Joseph Maxwell,71,Drama
82,Mickey,"F. Richard Jones, James Young",93,"Comedy, Drama"
83,Old Wives for New,Cecil B. DeMille,60,Drama
84,A Pair of Silk Stockings,Walter Edwards,60,"Comedy, Romance"
85,A Romance of Happy Valley,D.W. Griffith,76,"Drama, Romance"
86,Shifting Sands,Albert Parker,60,Drama
87,Charlot soldato,Charles Chaplin,45,"Comedy, War"
88,Stella Maris,Marshall Neilan,84,Drama
89,Tarzan of the Apes,Scott Sidney,73,"Action, Adventure"
90,The Unbeliever,Alan Crosland,80,"Drama, War"
91,The Whispering Chorus,Cecil B. DeMille,86,Drama
92,Ravished Armenia,Oscar Apfel,80,"Drama, History, Romance"
93,Behind the Door,Irvin Willat,70,"Drama, Thriller, War"
94,Mariti ciechi,Erich von Stroheim,99,"Drama, Romance"
95,Giglio infranto,D.W. Griffith,90,"Drama, Romance"
96,The Busher,Jerome Storm,63,"Drama, Sport"
97,Daddy-Long-Legs,Marshall Neilan,85,"Comedy, Drama"
98,The Delicious Little Devil,Robert Z. Leonard,63,"Comedy, Drama"
99,Don't Change Your Husband,Cecil B. DeMille,71,Comedy
100,Eyes of Youth,Albert Parker,78,Drama
101,"For Better, for Worse",Cecil B. DeMille,70,Drama
102,Getting Mary Married,Allan Dwan,65,Comedy
103,The Greatest Question,D.W. Griffith,80,Drama
104,The Grim Game,Irvin Willat,71,"Adventure, Drama"
105,Hawthorne of the U.S.A.,James Cruze,57,"Adventure, Comedy, Romance"
106,Heart o' the Hills,"Joseph De Grasse, Sidney Franklin",87,"Drama, Romance"
107,The Hoodlum,Sidney Franklin,78,Comedy
108,Male and Female,Cecil B. DeMille,116,"Adventure, Drama"
109,The Miracle Man,George Loane Tucker,80,Drama
110,The Mother and the Law,D.W. Griffith,95,Drama
111,The Roaring Road,James Cruze,58,"Comedy, Drama, Sport"
112,Scarlet Days,D.W. Griffith,77,"Adventure, Romance, Western"
113,Amore sulle labbra,D.W. Griffith,87,"Comedy, Drama, Romance"
114,Victory,Maurice Tourneur,62,"Drama, Romance"
115,Wagon Tracks,Lambert Hillyer,64,Western
116,Quando le nuvole volano via,Victor Fleming,85,"Action, Comedy, Romance"
117,The Wicked Darling,Tod Browning,59,"Drama, Crime"
118,Yankee Doodle in Berlin,F. Richard Jones,58,Comedy
119,April Folly,Robert Z. Leonard,50,"Drama, Crime"
120,Dr. Jekyll e Mr. Hyde,John S. Robertson,69,"Drama, Horror, Sci-Fi"
121,The Flapper,Alan Crosland,88,Comedy
122,Headin' Home,Lawrence C. Windom,71,"Biography, Comedy, Drama"
123,Humoresque,Frank Borzage,60,Drama
124,L'uomo dal coltello a serramanico,King Vidor,60,Drama
125,Just Pals,John Ford,50,"Comedy, Drama, Western"
126,The Last of the Mohicans,"Clarence Brown, Maurice Tourneur",73,"Action, Adventure, Drama"
127,The Love Expert,David Kirkland,60,"Comedy, Romance"
128,The Love Flower,D.W. Griffith,70,Drama
129,Il segno di Zorro,Fred Niblo,79,"Adventure, Romance, Western"
130,Un pulcino nella stoppa,Victor Fleming,86,"Adventure, Comedy, Romance"
131,Nomads of the North,David Hartford,109,Drama
132,Pollyanna,Paul Powell,58,"Family, Comedy, Drama"
133,The Restless Sex,"Leon D'Usseau, Robert Z. Leonard",70,Drama
134,The Round-Up,George Melford,70,"Comedy, Western"
